Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
P764469C-FKC000,SILICON LABORATORIES INC.,IC UC8,QFN,24,80017591,default,,,,
P764475C-FKC000,NXP SEMICONDUCTORS NV,IC UC8,TSSOP,28,80004853,default,,,,
P764540D-FKC000,NXP SEMICONDUCTORS NV,IC-PROC MICROCONTROLLER,80004853,default,,,,,,
P770010C-F9C000,CYPRESS SEMICONDUCTOR CORPORATION,P415 IC FLASH,TSOP,56,80033404,default,,,,
P770010C-F9C000,SPANSION INC,P415 IC FLASH,TSOP,56,80033404,default,,,,
P770011C-F9C000,CYPRESS SEMICONDUCTOR CORPORATION,CD4 IC,FLASH,FBGA,64,80033404,default,,,
P770011C-F9C000,SPANSION INC,CD4 IC,FLASH,FBGA,64,80033404,default,,,
P770012C-F9C000,CYPRESS SEMICONDUCTOR CORPORATION,IC FLASH,TSOP,56,80033404,default,,,,
P770012C-F9C000,SPANSION INC,IC FLASH,TSOP,56,80033404,default,,,,
P770014C-F9C000,CYPRESS SEMICONDUCTOR CORPORATION,IC FLASH,SOIC,16,80033404,default,,,,
P770014C-F9C000,MOUSER ELECTRONICS,IC FLASH,SOIC,16,80033404,default,,,,
P770014C-F9C000,SPANSION INC,IC FLASH,SOIC,16,80033404,default,,,,
P770014C-FPCX01,ON SEMICONDUCTOR INC.,IC EEPROM,SOIC,8,80004863,default,,,,
P770018C-F8C000,CYPRESS SEMICONDUCTOR CORPORATION,IC FLASH,SOIC,16,80033404,default,,,,
P770018C-F8C000,SPANSION INC,IC FLASH,SOIC,16,80033404,default,,,,
P770018D-F2C000,CYPRESS SEMICONDUCTOR CORPORATION,IC-MEM DRAM,FBGA,80016684,default,,,,,
P770018D-F2C000,HARD TO FIND INTERNATIONAL,IC-MEM DRAM,FBGA,80016684,default,,,,,
P770018D-F2C000,MOUSER ELECTRONICS,IC-MEM DRAM,FBGA,80016684,default,,,,,
P770020C-F5C000,CYPRESS SEMICONDUCTOR CORPORATION,IC FLASH,FBGA,64,80033404,default,,,,
P770020C-F5C000,SPANSION INC,IC FLASH,FBGA,64,80033404,default,,,,
P770020C-FPCX01,ON SEMICONDUCTOR INC.,P415 IC EEPROM,SOIC,8,80004863,default,,,,
P770021C-F5C000,MICRON TECHNOLOGY INC,IC SDRAM,FBGA,96,80017007,default,,,,
P770021C-FQC000,ST MICROELECTRONICS NV,IC EEPROM,SOIC,8,80021884,default,,,,
P770022C-FQCX00,ON SEMICONDUCTOR INC.,IC-MEM EEPROM,SOIC,80004863,default,,,,,
P770023C-FQCX00,ON SEMICONDUCTOR INC.,IC EEPROM,SOIC,8,80004863,default,,,,
P770024C-FYC000,SPANSION INC,FLASH IC, S29CD016J0MQFM,80012359,default,,,,,
P770025C-FPC000,MICROCHIP TECHNOLOGY INCORPORATED,IC EEPROM,SOT-23,5,80004856,default,,,,
P770027D-FQC000,ST MICROELECTRONICS NV,MEM EEPROM SO8 T4 4KX8 S,80021884,default,,,,,,
P770029C-F5C000,MICRON TECHNOLOGY INC,IC-MEM DDR,FBGA,96,80017007,default,,,,
P770030D-F9C000,CYPRESS SEMICONDUCTOR CORPORATION,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P770030D-F9C000,HARD TO FIND INTERNATIONAL,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P770033C-F0C000,CYPRESS SEMICONDUCTOR CORPORATION,IC FLASH,SOIC,16,80033404,default,,,,
P770033C-F0C000,NEXGEN DIGITAL,IC FLASH,SOIC,16,80033404,default,,,,
P770033C-F0C000,SPANSION INC,IC FLASH,SOIC,16,80033404,default,,,,
P770040D-F6C000,MACRONIX,IC-MEM SERIAL FLASH,SOP,80030748,default,,,,,
P770045D-F5C000,MICRON TECHNOLOGY INC,IC-MEM IC.MEMORY DDR2 F,80017007,default,,,,,,
P770045D-F80000,CYPRESS SEMICONDUCTOR CORPORATION,IC-MEM ,FBGA,80033404,default,,,,,
P770046D-F80000,WINBOND,IC-MEM SERIAL FLASH,SOIC,80035632,default,,,,,
P770057C-FYC000,MICRON TECHNOLOGY INC,IC FLASH,SOIC,8,80017007,default,,,,
P770065D-FYC000,MACRONIX,IC-MEM FLASH,SOIC,80030748,default,,,,,
P770066D-FYC000,MACRONIX,IC-MEM FLASH,SOIC,80030748,default,,,,,
P770067D-F0C000,MICRON TECHNOLOGY INC,IC-MEM FLASH,VFBGA,80017007,default,,,,,
P770075D-F0C000,AGS DEVICES CO,IC-MEM FLASH,BGA,80017007,default,,,,,
P770075D-F0C000,MICRON TECHNOLOGY INC,IC-MEM FLASH,BGA,80017007,default,,,,,
P770080D-F50000,MICRON TECHNOLOGY INC,IC-MEM LPDDR4 SDRAM,WFBG,80017007,default,,,,,
P770086D-F50000,MICRON TECHNOLOGY INC,IC-MEM SDRAM,WFBGA,80017007,default,,,,,
P770089D-F0C000,MICRON TECHNOLOGY INC,IC-MEM NOR FLASH,LBGA,80017007,default,,,,,
P7700910-F0C000,ARROW ELECTRONICS INC,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P7700910-F0C000,CYPRESS SEMICONDUCTOR CORPORATION,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P7700910-F0C000,DIGI-KEY,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P770091D-F0C000,CYPRESS SEMICONDUCTOR CORPORATION,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P770091D-F0C000,HARD TO FIND INTERNATIONAL,IC-MEM HYPERFLASH,FBGA,80016684,default,,,,,
P770148D-F00000,MICRON TECHNOLOGY INC,IC-MEM FLASH-LPDDR2,VFBG,80017007,default,,,,,
P770174D-F00000,MICRON TECHNOLOGY INC,IC-MEM NAND-FLASH,TFBGA,80017007,default,,,,,
P770188D-F00000,MICRON TECHNOLOGY INC,IC-MEM FLASH,T-PBGA,80017007,default,,,,,
P780001D-FX0000,MICRON TECHNOLOGY INC,IC-MEM SDRAM,WFBGA,80017007,default,,,,,
PCA00196-AA,SAMTEC INC,CONN HEADERS,14,VERTICAL,80005066,default,,,,
PCA00221-AA,TE CONNECTIVITY LTD,ELEC,CONX 2X13 BLACK RIG,80004938,default,,,,,
PCA00258-AA,YAZAKI CORPORATION,CONNECTOR J1 / P415 CLUS,80007553,default,,,,,,
PCA00268-AA,YAZAKI CORPORATION,S197 DI ELEC,CONX,,80007553,default,,,,
PCA00270-AA,JAPAN AVIATION ELECTRONICS INDUSTRY LTD.,CONN HEADERS,12,VERTICAL,80017100,default,,,,
PCA00318-AA,JST MFG CO LTD,CONN HEADERS,3,RIGHT ANG,80017106,default,,,,
PCA00319-AA,JST MFG CO LTD,TESLA CONN HEADERS,6,RIG,80017106,default,,,,
PCA00347-AA,JST MFG CO LTD,JC49 HEADERS,3,VERTICAL,,80017106,default,,,
PCA00353-AA,SAMTEC INC,CONN P/T - PIN HEADERS,2,80005066,default,,,,,
PCA00369-AA,MOLEX,DM8-DM6 MOLEX CONNECTOR,80004914,default,,,,,,
PCA00408-BA,SAMTEC INC,CONN-,P/T - PIN HEADERS,,80005066,default,,,,
PCA00440-AA,JST MFG CO LTD,CONN HEADERS,2,VERTICAL,,80017106,default,,,
PCA00447-AA,AUTOSPLICE,JC49-TESLA CON,VERTICAL,,80011964,default,,,,
PCA00451-AA,ARROW ELECTRONICS INC,CONN P/T - PIN HEADERS,2,80000435,default,,,,,
PCA00451-AA,MOLEX,CONN P/T - PIN HEADERS,2,80004914,default,,,,,
PCA00457-AA,JST MFG CO LTD,CONN HEADERS,6,VERTICAL,,80017106,default,,,
PCA00484-AA,IRISO,CONN C/M - DEVICE SOCKE,80004880,default,,,,,,
PCA00505-AA,IRISO,CONN C/M - DEVICE SOCKE,80004880,default,,,,,,
PCA00541-AA,IRISO,ELEC,CONX,,80004880,default,,,,
PCA00720-AA,SAMTEC INC,CONN P/T - PIN HEADERS,6,80005066,default,,,,,
PCA00721-AA,DIGI-KEY,CONN P/T - PIN HEADERS,,80004914,default,,,,,
PCA00721-AA,MOLEX,CONN P/T - PIN HEADERS,,80004914,default,,,,,
PCA00766-AA,IRISO,CONN P/T - PIN HEADERS,,80004880,default,,,,,
PCA00871-AA,ARCADIA COMPONENTS, LLC,C-GRID SMT 2.54MM DUAL,80004914,default,,,,,
PCA00871-AA,ARROW ELECTRONICS INC,C-GRID SMT 2.54MM DUAL,80004914,default,,,,,,
PCA00871-AA,ARROW ELECTRONICS INC,C-GRID SMT 2.54MM DUAL,80004914,default,,,,,,
PCA00871-AA,CONVERGE,C-GRID SMT 2.54MM DUAL,80004914,default,,,,,,
PCA00872-AA,ARROW ELECTRONICS INC,14 CKT 2.54MM PITCH,80000435,default,,,,,,
PCA00872-AA,MOLEX,14 CKT 2.54MM PITCH,80004914,default,,,,,,
PCA00960-AA,AVNET INC,CONN P/T - PIN HEADERS,1,80004932,default,,,,,
PCA00960-AA,AVNET INC,CONN P/T - PIN HEADERS,1,80023560,default,,,,,
PCA00960-AA,MOUSER ELECTRONICS,CONN P/T - PIN HEADERS,1,80023560,default,,,,,
PCB00022-AB,TE CONNECTIVITY LTD,ELEC,CONX,,80004938,default,,,,
PCB00096-AA,JAPAN AVIATION ELECTRONICS INDUSTRY LTD.,CONN HEADERS,28,RIGHT AN,80017100,default,,,,
PCB00106-AA,TE CONNECTIVITY LTD,ELEC,CONX,,80004938,default,,,,
PCB00190-AA,DIGI-KEY,CONN HEADERS,32,RIGHT AN,80017100,default,,,,
PCB00190-AA,JAPAN AVIATION ELECTRONICS INDUSTRY LTD.,CONN HEADERS,32,RIGHT AN,80017100,default,,,,
PCB00210-AA,TE CONNECTIVITY LTD,CONN HEADERS,6,RIGHT ANG,80004939,default,,,,
PCB00246-AA,SAMTEC INC,P552 CONN HEADERS,16,VER,80005066,default,,,,
PCB00252-AA,TE CONNECTIVITY LTD,CONN HEADERS,26,VERTICAL,80004938,default,,,,
PCB00261-BA,SAMTEC INC,B299 DI CON PIN 32,VERTI,80005066,default,,,,,
PCB00308-AA,MOLEX,CD4 CONN ,2,VERTICAL,SUR,80004914,default,,,
PCB00310-BA,SAMTEC INC,CONN HEADERS,12,VERTICAL,80005066,default,,,,
PCB00332-AA,ARROW ELECTRONICS INC,HARNESS - RIGHT ANGLE,80000435,default,,,,,,
PCB00362-AB,DIGI-KEY,CONN,I/O - THRU HOLE HE,80004914,default,,,,,
PCB00362-AB,MOLEX,CONN,I/O - THRU HOLE HE,80004914,default,,,,,
PCB00363-AB,IRISO,CONN I/O - THRU HOLE HE,80004880,default,,,,,,
PCB00409-AA,YAZAKI CORPORATION,CONN I/O - THRU HOLE HE,80007553,default,,,,,,
PCB00409-AB,YAZAKI CORPORATION,CONN,I/O - THRU HOLE HE,80007553,default,,,,,
PCB00419-AB,YAZAKI CORPORATION,CONN I/O - THRU HOLE HE,80007553,default,,,,,,
PCB00419-BB,YAZAKI CORPORATION,CONN I/O - THRU HOLE HEA,80007553,default,,,,,,
PCB00450-AA,JST MFG CO LTD,CONN HEADERS,6,RIGHT ANG,80017106,default,,,,
PCB00459-AA,HIROSE ELECTRIC GROUP,CONN I/O - SMD HEADERS,,80018201,default,,,,,
PCB00473-AA,TE CONNECTIVITY LTD,CONN. 12P MODU II PIN,80004938,default,,,,,,
PCB00714-AA,MOLEX,CONN I/O - PCM HEADERS,,80004914,default,,,,,
PCB00714-AA,MOUSER ELECTRONICS,CONN I/O - PCM HEADERS,,80004914,default,,,,,
PCC00074-AA,ROSENBERGER,CONN RF - FAKRA,5,RIGHT,80007449,default,,,,
PCC00074-BA,ROSENBERGER,CONN RF - FAKRA,5,RIGHT,80007449,default,,,,
PCF00147-AA,IRISO,ELEC, CONX,80004880,default,,,,,
PCF00202-AB,AMPHENOL CORPORATION,CONN RF - FAKRA,5,RIGHT,80016609,default,,,,
PCF00204-AA,SCHROEDER BAUER,C520 CON - IC/LCD/DEVICE,80008760,default,,,,,,
PCF00438-AA,AMPHENOL CORPORATION,CONN RF - FAKRA,5,RIGHT,80016609,default,,,,
PCF00490-AA,IRISO,ELEC,CONX,,80004880,default,,,,
PCG00234-AA,IRISO,CONN ZIF AND LIF,4,RIGHT,80004880,default,,,,
PCG00254-AA,HIROSE ELECTRIC GROUP,C520 CON ZIF LIF,30,RIGH,80018201,default,,,,
PCG00256-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,50,RIGH,80018201,default,,,,
PCG00256-AB,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,50,RIGH,80018201,default,,,,
PCG00259-AA,HIROSE ELECTRIC GROUP,CONN ZIF AND LIF,68,RIGH,80018201,default,,,,
PCG00266-AA,AVX KYOCERA,CONN FFC - ZIF,60,RIG,80005063,default,,,,
PCG00266-AA,KYOCERA CORP,SKT.FFC/FPC 60CTS,80005063,default,,,,,,
PCG00306-AA,IRISO,CD4 CON AND LIF,10,VERT,80004880,default,,,,
PCG00325-AA,ARROW ELECTRONICS INC,CONN FFC - ZIF,10,RIG,80018201,default,,,,
PCG00325-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,10,RIG,80018201,default,,,,
PCG00325-AA,MOUSER ELECTRONICS,CONN FFC - ZIF,10,RIG,80018201,default,,,,
PCG00521-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,40,STRA,80018201,default,,,,
PCH00012-AA,MOLEX,CONN ZIF/LIF,18 PIN,VERT,80004914,default,,,,
PCL00006-AA,ROSENBERGER,CONN HS - HSD,4,VERTIC,80007449,default,,,,
PCL00020-AA,ROSENBERGER,CONN HS - HSD,4,VERTICA,80007449,default,,,,
PCL00034-AB,AMPHENOL CORPORATION,CONN,80017944,default,,,,,,
PCL00039-AB,AMPHENOL CORPORATION,CONN,80017944,default,,,,,,
PCL00042-AA,ROSENBERGER,CONN HS - HSD,4,VERTIC,80007449,default,,,,
PCL00044-AA,ROSENBERGER,CONN HS - HSD,6,VERTI,80007449,default,,,,
PCL00051-AA,ROSENBERGER,CONN HS - HSD,4,VERTIC,80007449,default,,,,
PCL00059-AB,ROSENBERGER,CONN HS - FAKRA,3,RIGHT,80007449,default,,,,
PCL00060-AB,ROSENBERGER,CONN HS - FAKRA,2,RIGHT,80007449,default,,,,
PCL00104-AA,ROSENBERGER,CONN HS - HSD,4,VERTIC,80007449,default,,,,
PCL00117-AA,ROSENBERGER,CONN HS - HSD,4,VERTIC,80007449,default,,,,
PCL00139-AA,ROSENBERGER,CONN HS - FAKRA,5,BEN,80007449,default,,,,
PCL00158-AA,ROSENBERGER,CONN HS - HSD,6,STRAI,80007449,default,,,,
PCL00715-AA,ROSENBERGER,CONN HS - FAKRA,4,BEN,80007449,default,,,,
PCL00716-AA,ROSENBERGER,CONN HS - FAKRA,1,BEN,80007449,default,,,,
PCL00716-AA1,ROSENBERGER,QUAD HFM - RIGHT ANGLE,80007449,default,,,,,,
PCL00716-AA1,VAL TECHNOLOGIES, INC,QUAD HFM - RIGHT ANGLE,80030809,default,,,,,
PCL00727-AA,ROSENBERGER,CONN HS - FAKRA,5,BEN,80007449,default,,,,
PCL00761-AA,ROSENBERGER,CONN HS - HSD,2,BENDED,80007449,default,,,,
PCL00761-AB,ROSENBERGER,CONN-,HS - HSD,2,BENDED,,80007449,default,,
PCL00804-AA,ROSENBERGER,CONN HS - FAKRA,4,BEND,80007449,default,,,,
PCL00869-AA,ROSENBERGER,CONN-,HS - FAKRA,2,BENDE,80007449,default,,,
PCN00017-AB,MOLEX,CONN CONSUMER - USB,5,R,80004914,default,,,,
PDS5100HQ-13,ARROW ELECTRONICS INC,5A HIGH VOLTAGE SCHOTTKY,80000435,default,,,,,,
PE11002B-FA3400,NICHIA CORPORATION,DIO-LED AMBER,SMD,80017155,default,,,,,
PE11005B-FA34AC,SIEMENS AG,DIO-LED ICE-BLUE,MINI-T,80004895,default,,,,,
PE11024B-FA31AC,SIEMENS AG,DIO,LED,BLUE,MINI-TOPLED,80004895,default,,,
PE11025B-FA34AC,SIEMENS AG,DIO,LED,ICE-BLUE,MINI-TO,80004895,default,,,
PE12003B-FA3100,STANLEY ELECTRIC,DIO-LED RED,CHIPLED-1206,80015006,default,,,,,
PE12008B-FA3200,STANLEY ELECTRIC,DIOD-LED ORANGE,,80015006,default,,,,,
PE12014B-FA3400,STANLEY ELECTRIC,DIO-LED WHITE,SMD,80015006,default,,,,,
PE12015B-FA31AA,SIEMENS AG,DIO,LED,YELLOW,P-LCC-2,80004895,default,,,
PE12015C-FA31S1,SIEMENS AG,DIO-LED YELLOW,P-LCC-2 H,80004895,default,,,,,
PE12017B-FA31AA,SIEMENS AG,DIO-LED ORANGE,P-LCC-2,80004895,default,,,,,
PE12027B-FA31AA,PCG TRADING LLC, DBA CONVERGE,DIO-LED BLUE,P-LCC-2,80004853,default,,,,
PE12035B-FA31AA,SIEMENS AG,DIO-LED AMBER,P-LCC-2,80004895,default,,,,,
PE12037B-FA31AA,SIEMENS AG,DIO-LED RED,P-LCC-2,80004895,default,,,,,
PE12038B-FA31AC,SIEMENS AG,DIO,LED,YELLOW,MINI-TOPL,80004895,default,,,
PE12058B-FA3100,NICHIA CORPORATION,DIO-LED GREEN P-LCC-2 HO,80017155,default,,,,,,
PE12068B-FA34AC,NICHIA CORPORATION,DIODE - LED - GREEN,MINI,80017155,default,,,,,
PE12068C-FA31AA,SIEMENS AG,DIODE LED SMD (YEL),80004895,default,,,,,,
PE12069B-FA31AA,SIEMENS AG,DIO-LED RED,P-LCC-2,80004895,default,,,,,
PE12070C-FA31AA,SIEMENS AG,B299 MCA DIO - LED RED,P,80004895,default,,,,,
PE12079B-FA3100,STANLEY ELECTRIC,DIO-LED YELLOW,P-LCC-2,80015006,default,,,,,
PE12080B-FA3100,STANLEY ELECTRIC,DIO-LED RED,P-LCC-2,80015006,default,,,,,
PE12080B-FA3400,STANLEY ELECTRIC,DIOD-LED GREEN,SMD,80015006,default,,,,,
PE12083C-FA3100,KONINKLIJKE PHILIPS ELECTRONICS NV,TESLA DIO-LED ,SMD-3LEAD,80004620,default,,,,,
PE12085B-FA31AA,DOMINANT,DIO-LED RED,P-LCC-2,80008655,default,,,,,
PE12089B-FA31AA,SIEMENS AG,B299 MCA DIO - LED YELLO,80004895,default,,,,,,
PE12090B-FA31AA,SIEMENS AG,B299 MCA DIO - LED,80004895,default,,,,,,
PE12092B-FA31AA,DOMINANT,DIO-LED BLUE,P-LCC-2,80008655,default,,,,,
PE12097B-FA31AA,DOMINANT,DIO-LED YELLOW,P-LCC-2,80008655,default,,,,,
PE12125B-FA3100,SIEMENS AG,DIOD-LED BLUE,(RG, RH),(,80004895,default,,,
PE12126B-FA3100,SIEMENS AG,DIOD-LED YELLOW,(RH,RI,S,80004895,default,,,
PE12534B-FA31AC,SIEMENS AG,DIO-LED YELLOW,MINI-TOP,80004895,default,,,,,
PE13001B-FA34AE,SIEMENS AG,B299 MCA DIO-LED BLUE,P-,80004895,default,,,,,
PE13002B-FA32AA,NICHIA CORPORATION,DIO-LED ICE-BLUE,P-LCC-2,80017155,default,,,,,
PE13007B-FA3400,NICHIA CORPORATION,S197 DI DIO,LED,WHITE,P-,80017155,default,,,
PE13013B-FA34AB,SIEMENS AG,DIO-LED WHITE,SIDELED,80004895,default,,,,,
PE13017B-FA3100,SIEMENS AG,2K11 DIO-LED RED,P-LCC-4,80004895,default,,,,,
PE13024B-FA3400,SIEMENS AG,DIO-LED BLUE,P-LCC-4,80004895,default,,,,,
PE13033B-FA34AA,SIEMENS AG,DIO-LED WHITE,P-LCC-2,80004895,default,,,,,
PE13035B-FA34AA,NICHIA CORPORATION,DIO-LED WHITE,P-LCC-2,80017155,default,,,,,
PE13051B-FA34AE,SIEMENS AG,DIO-LED BLUE,P-LCC-4,80004895,default,,,,,
PE13055B-FA34AE,SIEMENS AG,DIO-LED BLUE,P-LCC-4,80004895,default,,,,,
PE13066B-FA34AE,SIEMENS AG,DIODE LED SMD (WHITE),80033466,default,,,,,,
PE13067B-FA3400,NICHIA CORPORATION,DIO-LED WHITE,SMD-SIDE,80017155,default,,,,,
PE13083B-FA3400,NICHIA CORPORATION,DIOD-LED WHITE,,80017155,default,,,,,
PE13099B-FA3400,NICHIA CORPORATION,DIOD-LED WHITE,(CD1000,C,80017155,default,,,,
PE14004B-FA3400,AVNET INC,DIO-LED WHITE,SMD,80014146,default,,,,,
PE14004B-FA3400,SEOUL SEMI,DIO-LED WHITE,SMD,80014146,default,,,,,
PE14006B-FA3400,AVNET INC,DIO-LED WHITE,SMD,80014146,default,,,,,
PE14006B-FA3400,SEOUL SEMI,DIO-LED WHITE,SMD,80014146,default,,,,,
PE14008B-FA3400,AVNET INC,DIO-LED WHITE,SMD,80014146,default,,,,,
PE14008B-FA3400,SEOUL SEMI,DIO-LED WHITE,SMD,80014146,default,,,,,
PE16031B-F466AA,SIEMENS AG,DIO,LED,BLUE,P-LCC-2,80004895,default,,,
PE20D31B-F587AC,SIEMENS AG,DIO-LED YELLOW,MINI-TOPL,80004895,default,,,,,
PE21001B-FA3200,ARROW ELECTRONICS INC,DIOD-LED GREEN,,80000435,default,,,,,
PE21001B-FA3200,STANLEY ELECTRIC,DIOD-LED GREEN,,80015006,default,,,,,
PE21002B-FB3100,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,DIOD-LED ,SMD,80004895,default,,,,
PE21002B-FB3100,SIEMENS AG,DIOD-LED ,SMD,80004895,default,,,,,
PE21017B-FA31AC,SIEMENS AG,DIO-LED BLUE,MINI-TOPLED,80004895,default,,,,,
PE22007B-FA3200,NICHIA CORPORATION,DIOD-LED GREEN,,80017155,default,,,,,
PE22021B-FA3400,NICHIA CORPORATION,DIO-LED BLUE,P-LCC-2,80017155,default,,,,,
PE22028B-FA3100,STANLEY ELECTRIC,DIO-LED RED,CHIPLED-0603,80015006,default,,,,,
PE22034B-FA31AA,PCG TRADING LLC, DBA CONVERGE,DIOD-LED YELLOW,(S2, T1),80004853,default,,,
PE22034B-FA31AA,SIEMENS AG,DIOD-LED YELLOW,(S2, T1),80004895,default,,,,
PE22035B-FA3400,ASAHI RUBBER INC.,DIOD-LED BLUE,SMD,80016611,default,,,,,
PE23001C-FA31AE,SIEMENS AG,S197 2K13 DIO-LED RED,P-,80004895,default,,,,,
PE23002B-FA34AA,NICHIA CORPORATION,DIO-LED WHITE,P-LCC-2,80017155,default,,,,,
PE23022B-FA3400,STANLEY ELECTRIC,DIOD-LED WHITE,SMD,80015006,default,,,,,
PE30002B-FA34AC,SIEMENS AG,DIO-LED ICE-BLUE,MINI-TO,80004895,default,,,,,
PE31014B-FA3100,STANLEY ELECTRIC,DIO-LED BLUE,P-LCC-2,80015006,default,,,,,
PE32004B-FA31AA,PCG TRADING LLC, DBA CONVERGE,DIO-LED RED,P-LCC-2,80004853,default,,,,
PE32017B-FA3100,SIEMENS AG,DIODE LED TRUE GREEN P-L,80004895,default,,,,,,
PE32019B-FA3400,NICHIA CORPORATION,DIO,LED,WHITE,P-LCC-4,80017155,default,,,
PE32022B-FA31AA,SIEMENS AG,B299 MCA DIO - LED,80004895,default,,,,,,
PE32029B-FA3400,NICHIA CORPORATION,DIOD-LED AMBER,,80017155,default,,,,,
PE33004B-FA3400,NICHIA CORPORATION,DIOD-LED ICE-BLUE,(Y),(N,80017155,default,,,,
PE41000B-FA3200,MOUSER ELECTRONICS,DIOD-LED INFRARED,,80004895,default,,,,,
PE41000B-FA3200,SIEMENS AG,DIOD-LED INFRARED,,80004895,default,,,,,
PE41012B-FA34AA,SIEMENS AG,DIO,LED,ICE-BLUE,P-LCC-2,80004895,default,,,
PE41015D-FA3400,ASAHI RUBBER INC.,DIOD-LED ,,80016611,default,,,,,
PE41016B-FA3400,ASAHI RUBBER INC.,DIOD-LED BLUE,SMD,80016611,default,,,,,
PE41016D-FA3400,ASAHI RUBBER INC.,DIOD-LED BLUE,SMD,80016611,default,,,,,
PE42011B-FA31AA,SIEMENS AG,LED / LYT68B-U2-5,80004895,default,,,,,,
PE42017B-FA3100,SIEMENS AG,DIOD-LED RED,(UG,UH,UI),,80004895,default,,
PE42017B-FA3400,STANLEY ELECTRIC,DIOD-LED WHITE,,80015006,default,,,,,
PE42018B-FA3100,SIEMENS AG,DIOD-LED TRUE GREEN,(UG,,80004895,default,,,,
PE43002B-FA31AH,SIEMENS AG,DIO-LED AMBER,P-LCC-4-L,80004895,default,,,,,
PE43004B-FA3100,SIEMENS AG,DIO,LED,RED,P-LCC-4-LENS,80004895,default,,,
PE43005C-FA3102,SIEMENS AG,JC49 DIO-LED AMBER,P-LCC,80004895,default,,,,,
PE50004B-FA31AC,SIEMENS AG,DIO-LED YELLOW,MINI-TOPL,80004895,default,,,,,
PE51003C-FA3400,ASAHI RUBBER INC.,HONDA MDX DIO-LED ,SMD,80016611,default,,,,,
PE51015B-FA3100,NICHIA CORPORATION,DIO,LED,BLUE,P-LCC-2,80017155,default,,,
PE51024B-FA34AA,SIEMENS AG,DIO-LED ICE-BLUE,P-LCC-2,80004895,default,,,,,
PE52013B-FA31AA,SIEMENS AG,S197 2K13 DIO-LED RED,P-,80004895,default,,,,,
PE52029B-FA31AA,SIEMENS AG,DIOD-LED TRUE GREEN,P-L,80004895,default,,,,,
PE53000B-FA3400,SIEMENS AG,P552 DIO-LED BLUE,P-LCC-,80004895,default,,,,,
PE53009B-FA3100,SIEMENS AG,DIO-LED TRUE-GREEN,P-LC,80004895,default,,,,,
PE60001B-FA3400,STANLEY ELECTRIC,DIO-LED BLUE,SMD,80015006,default,,,,,
PE60001B-FB3100,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,DIOD-LED ,SMD,80004895,default,,,,
PE60001B-FB3100,SIEMENS AG,DIOD-LED ,SMD,80004895,default,,,,,
PE61001C-FA3400,ASAHI RUBBER INC.,HONDA MDXDIO-LED WHITE,M,80016611,default,,,,,
PE61017B-FA3400,NICHIA CORPORATION,LED ICE-BLUE 63-107MCD/,80017155,default,,,,,,
PE61019B-FA3100,STANLEY ELECTRIC,DIO-LED PURE GREEN,P-LCC,80015006,default,,,,,
PE71004B-FA31AC,SIEMENS AG,DIO,LED,RED,MINI-TOPLED,80004895,default,,,
PE71008B-FA3100,STANLEY ELECTRIC,DIO-LED YELLOW,CHIPLED-,80015006,default,,,,,
PE71015B-FA3400,NICHIA CORPORATION,DIOD-LED RED,,80017155,default,,,,,
PE71017B-FA3200,NICHIA CORPORATION,DIOD-LED BLUE,SMD,80017155,default,,,,,
PE72008B-FA31AA,SIEMENS AG,P552 DI DIO-LED ORANGE,P,80004895,default,,,,,
PE72009C-FA31AA,SIEMENS AG,JC49 DIO-LED AMBER,P-LCC,80004895,default,,,,,
PE72012B-FA31AA,SIEMENS AG,LED ORANGE 606NM 710/140,80004895,default,,,,,,
PE73003B-FA3100,SIEMENS AG,TESLA DIO, LED AMBER, P-,80004895,default,,,,
PE74002B-FA3100,SIEMENS AG,DIO-LED AMBER,GULL-SMD,80004895,default,,,,,
PE81004C-FA3100,KONINKLIJKE PHILIPS ELECTRONICS NV,TESLA DIO-LED AMBER,SMD,80004620,default,,,,,
PE91005B-FA31AA,SIEMENS AG,DIO,LED,RED,P-LCC-2,80004895,default,,,
PE91011B-FA3100,NICHIA CORPORATION,DIO,LED,GREEN,P-LCC-2,80017155,default,,,
PE91016B-FA31AA,SIEMENS AG,C520 DIO-LED TRUE-GREEN,,80004895,default,,,,,
PE91024B-FA31AC,SIEMENS AG,DIO-LED TRUE-GREEN,MINI,80004895,default,,,,,
PE91029D-FA31AA,SIEMENS AG,DIODE LED SMD (TRUE GREE,80004895,default,,,,,,
PE92001B-FA31AA,SIEMENS AG,TESLA DIODE - LED - AMBE,80004895,default,,,,,,
