Part_Number,Supplier,Description,Supplier_Location_Code,Added,Last_Modification,,,,,
D2BTP000-000022,MURATA MANUFACTURING CO LTD,CAP-CERM 10UF,10%,16V,X,80004846,default,,,
D2BTP000-000023,MURATA MANUFACTURING CO LTD,CAP-CERM 22NF,10%,100V,,80004846,default,,,
D2BTP000-000027,MURATA MANUFACTURING CO LTD,CAP-CERM 12PF,5%,50V,C0,80004846,default,,,
D2BTP000-000028,MURATA MANUFACTURING CO LTD,CAP-CERM 4.7NF,10%,50V,,80004846,default,,,
D2BTP000-000029,MURATA MANUFACTURING CO LTD,CAP-CERM 220NF,10%,16V,,80004846,default,,,
D2BTP000-000040,MURATA MANUFACTURING CO LTD,CAP-CERM 100PF,5%,50V,C,80004846,default,,,
D2BTP000-000044,MURATA MANUFACTURING CO LTD,CAP-CERM 10UF,10%,10V,,,80004846,default,,
D4BTP000-000012,UNITED CHEMICON,CAP-ALUM 47UF,20%,35V,1,80012126,default,,,
D4BTP000-000013,NICHICON CORPORATION,CAP-ALUM 330UF,20%,35V,,80004917,default,,,
D4BTP000-000025,UNITED CHEMICON,CAP-ALUM 220UF,20%,10V,,80012126,default,,,
D4BTP000-000032,UNITED CHEMICON,CAP-ALUM 330UF,20%,35V,,80012126,default,,,
D541001B-FAAAKD,ROHM CO LTD,DIO,PIN,50V,50 MA,SOD323,80004918,default,,
D5BTP000-000004,ON SEMICONDUCTOR INC.,DIOD-SCHOT 45V,10A,D-PAK,80004863,default,,,,
D5FC773M0K3NCU,TAIYO YUDEN,BAND28 BLOCK A DUPLEXER,80034477,default,,,,,,
D5FC788M0K3NDU,TAIYO YUDEN,BAND28 BLOCK B DUPLEXER,80034477,default,,,,,,
D6510060-FHGAFD,ON SEMICONDUCTOR INC.,XSTR-PDAR 50A,60V,TO-3,80004863,default,,,,
D6BTP000-000003,AVNET INC,XSTR-MFET P-CHANNEL,60V,,80016624,default,,,,
D6BTP000-000004,TEXAS INSTRUMENTS INC.,XSTR-DAR NPN,50V,500MA,,80000334,default,,,
D6BTP000-000007,AVNET INC,XSTR-MFET COMPLEX,20V,,80016624,default,,,,
D6BTP000-000007,DIGI-KEY,XSTR-MFET COMPLEX,20V,,80004891,default,,,,
D6HQ2G655DP02U,TAIYO YUDEN,BAND 7 DUPLEXER,80034477,default,,,,,,
D700065B-FFE000,TEXAS INSTRUMENTS INC.,VR SD IC, LM2734YMK, TSO,80000334,default,,,,
D700067C-FSC000,TEXAS INSTRUMENTS INC.,O A M IC, AUDIO CODEC WI,80000334,default,,,,,
D700101C-FSB000,MAXIM INTEGRATED PRODUCTS INC,O A M IC, XM-RADIO RECEI,80023688,default,,,,,
D701003C-FFB000,TEXAS INSTRUMENTS INC.,VR LIN IC, LP2989ILD-3.3,80000334,default,,,,,
D710052C-FDC000,MAXIM INTEGRATED PRODUCTS INC,MAX6922AQH-T,80023688,default,,,,,,
D710063C-FTC000,ON SEMICONDUCTOR INC.,IC TRANS,TSSOP,20,80004863,default,,,,
D740010C-FSC000,TEXAS INSTRUMENTS INC.,REGIST IC, 74AHC595PWR,,80000334,default,,,,
D740011B-FSCFCA,NEXPERIA,REGIST IC, HEF4794BT, SO,80030969,default,,,,
D760134C-FLC000,TEXAS INSTRUMENTS INC.,O MIC IC, TMS320VC5410A,,80000334,default,,,,
D760136C-FMC000,TEXAS INSTRUMENTS INC.,O MIC IC, OMAP5912GDYA,,80000334,default,,,,
D770001C-F3C000,MICRON TECHNOLOGY INC,RAM IC, MT48LC16M8A2TG-7,80017007,default,,,,,
D7BTP000-000001,ON SEMICONDUCTOR INC.,IC-REG FIXED,DPAK,80004863,default,,,,,
D7BTP000-000004,DIGI-KEY,IC-DRIVER LED DRIVER,,80004918,default,,,,,
D7BTP000-000004,ROHM CO LTD,IC-DRIVER LED DRIVER,,80004918,default,,,,,
D7BTP000-000006,MAXIM INTEGRATED PRODUCTS INC,IC-REG CONVERTER,TSSOP,80023688,default,,,,,
D7BTP000-000008,MACRONIX,IC-MEM FLASH,SOIC-8,80030748,default,,,,,
DCA00755-AA,ALLIANCE ELECTRONICS DISTRIBUTOR, INC.,CONN P/T - B2B,10,VER,80004918,default,,,
DCA00755-AA,SAMTEC INC,CONN P/T - B2B,10,VER,80005066,default,,,,
DCA00942-AA,MOLEX,CONN P/T - PIN HEADERS,5,80004914,default,,,,,
DCG00106-AA,IRISO,CONN FFC - ZIF,14,RIG,80004880,default,,,,
DCG00108-AA,ARROW ELECTRONICS INC,CONN FFC - ZIF,40,VERTI,80000435,default,,,,
DCG00108-AA,DIGI-KEY,CONN FFC - ZIF,40,VERTI,80004918,default,,,,
DCG00109-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,30,VERTI,80018201,default,,,,
DCG00113-AA,IRISO,CONN FFC - ZIF,10,RIGHT,80004880,default,,,,
DCG00139-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,10,RIGH,80018201,default,,,,
DCG00367-AA,HIROSE ELECTRIC GROUP,CONN ,50,BENDED,,80018201,default,,,
DCG00438-AA,DIGI-KEY,CONN FFC - ZIF,40,RIG,80018201,default,,,,
DCG00438-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,40,RIG,80018201,default,,,,
DCG00454-AA,ARCADIA COMPONENTS, LLC,CONNECTOR FPC 33POS R/A,80033465,default,,,,,
DCG00454-AA,DIGI-KEY,CONNECTOR FPC 33POS R/A,80004918,default,,,,,,
DCG00454-AA,MOUSER ELECTRONICS,CONNECTOR FPC 33POS R/A,80034477,default,,,,,,
DCG00503-AA,HIROSE ELECTRIC GROUP,CONN FFC - ZIF,30,BEND,80018201,default,,,,
DCG00503-AA,MOUSER ELECTRONICS,CONN FFC - ZIF,30,BEND,80034477,default,,,,
DEBTP000-000001,SIEMENS AG,DIOD-LED RED,P-LCC-2,80004895,default,,,,,
DEBTP000-000002,SIEMENS AG,DIOD-LED WHITE,P-LCC-2,80004895,default,,,,,
DEBTP000-000004,SIEMENS AG,DIOD-LED TRUE GREEN,,80004895,default,,,,,
DEBTP000-000008,NICHIA CORPORATION,DIOD-LED BLUE,P-LCC-2,80017155,default,,,,,
DEBTP000-000010,SIEMENS AG,DIOD-LED YELLOW,P-LCC-2,80004895,default,,,,,
DEBTP000-000013,SIEMENS AG,DIOD-LED TRUE GREEN,P-L,80004895,default,,,,,
DEBTP000-000014,SIEMENS AG,DIOD-LED TRUE GREEN,P-L,80004895,default,,,,,
DEBTP000-000015,NICHIA CORPORATION,DIOD-LED GREEN,SMD,80017155,default,,,,,
DEBTP000-000017,NICHIA CORPORATION,DIOD-LED BLUE,SMD,80017155,default,,,,,
DFE322520FD-2R2MP2,MURATA MANUFACTURING CO LTD,IND 2.2UH 20% 46MOHMS AE,80027755,default,,,,,,
DL27733B-F10001,COILCRAFT,INDC,IND,27NH,5%,805,80016655,default,,
DL40311C-F10001,MURATA MANUFACTURING CO LTD,IND,40MH,35%, SMD,80027755,default,,,
DL47833C-F10001,MURATA MANUFACTURING CO LTD,INDC,IND,470NH,5%,805,80027755,default,,
DLBTP000-000001,MURATA MANUFACTURING CO LTD,MAG-FER 60R,25%,6A,1806,80004846,default,,,
DLBTP000-000003,MURATA MANUFACTURING CO LTD,MAG-FER 1K,25%,200MA,,80004846,default,,,
